check type,description,command,status,uid,diagnostic,objective,org-name,repo-name,file-name,amount_correct,percentage_score,report_time
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,wC69ew7NwVXVb1dj2hr23w==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,33x/IdA+veSNbwwV+sZAeg==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,b6vKWo8XetQV73efl+7ZIA==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! ðŸ’¥ ðŸ’” ðŸ’¥	     1 file would be reformatted, 4 files would be left unchanged.",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,33x/IdA+veSNbwwV+sZAeg==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! ðŸ’¥ ðŸ’” ðŸ’¥	     1 file would be reformatted, 4 files would be left unchanged.",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,Rc9Hc3YcbAwPRaxiorY2XA==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py Imports are incorrectly sorted and/or formatted.	     ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,false,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,p5K7+j/WnpdDSeiVoM6iFA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,false,wC69ew7NwVXVb1dj2hr23w==,************* Module fibonaccicreator.fibonacci	     fibonaccicreator/fibonacci.py:13:28: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:23:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:35:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:50:28: W0613: Unused argument 'number' (unused-argument)	     	     -----------------------------------	     Your code has been rated at 9.56/10,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,wC69ew7NwVXVb1dj2hr23w==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,b6vKWo8XetQV73efl+7ZIA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,true,wC69ew7NwVXVb1dj2hr23w==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,2zdwxa4w1RzMTPppmcTgrA==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,33x/IdA+veSNbwwV+sZAeg==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,false,p5K7+j/WnpdDSeiVoM6iFA==,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! ðŸ’¥ ðŸ’” ðŸ’¥	     1 file would be reformatted, 4 files would be left unchanged.",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,b6vKWo8XetQV73efl+7ZIA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,false,wC69ew7NwVXVb1dj2hr23w==,"fibonaccicreator/fibonacci.py:13: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:13: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     fibonaccicreator/fibonacci.py:23: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:23: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:35: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:35: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:50: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:50: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     Found 4 errors in 1 file (checked 3 source files)",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,wC69ew7NwVXVb1dj2hr23w==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,p5K7+j/WnpdDSeiVoM6iFA==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py Imports are incorrectly sorted and/or formatted.	     ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,false,p5K7+j/WnpdDSeiVoM6iFA==,************* Module fibonaccicreator.fibonacci	     fibonaccicreator/fibonacci.py:13:28: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:23:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:35:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:50:28: W0613: Unused argument 'number' (unused-argument)	     	     -----------------------------------	     Your code has been rated at 9.55/10,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,false,33x/IdA+veSNbwwV+sZAeg==,"fibonaccicreator/fibonacci.py:13: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:13: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     fibonaccicreator/fibonacci.py:23: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:23: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:35: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:35: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:50: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:50: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     Found 4 errors in 1 file (checked 3 source files)",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,false,b6vKWo8XetQV73efl+7ZIA==,************* Module fibonaccicreator.fibonacci	     fibonaccicreator/fibonacci.py:13:28: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:23:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:35:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:50:28: W0613: Unused argument 'number' (unused-argument)	     	     -----------------------------------	     Your code has been rated at 9.55/10,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,false,p5K7+j/WnpdDSeiVoM6iFA==,"fibonaccicreator/fibonacci.py:13: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:13: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     fibonaccicreator/fibonacci.py:23: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:23: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:35: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:35: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:50: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:50: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     Found 4 errors in 1 file (checked 3 source files)",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,false,33x/IdA+veSNbwwV+sZAeg==,************* Module fibonaccicreator.fibonacci	     fibonaccicreator/fibonacci.py:13:28: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:23:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:35:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:50:28: W0613: Unused argument 'number' (unused-argument)	     	     -----------------------------------	     Your code has been rated at 9.55/10,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the linting checks run by pymarkdown,cd fibonaccicreator && poetry run task markdownlint,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,true,2zdwxa4w1RzMTPppmcTgrA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28
Command,Pass the linting checks run by mypy,cd fibonaccicreator && poetry run task mypy,false,b6vKWo8XetQV73efl+7ZIA==,"fibonaccicreator/fibonacci.py:13: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:13: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     fibonaccicreator/fibonacci.py:23: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:23: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:35: error: Name ""Tuple"" is not defined	     fibonaccicreator/fibonacci.py:35: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import Tuple"")	     fibonaccicreator/fibonacci.py:50: error: Name ""List"" is not defined	     fibonaccicreator/fibonacci.py:50: note: Did you forget to import it from ""typing""? (Suggestion: ""from typing import List"")	     Found 4 errors in 1 file (checked 3 source files)",lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,33x/IdA+veSNbwwV+sZAeg==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py Imports are incorrectly sorted and/or formatted.	     ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,true,Rc9Hc3YcbAwPRaxiorY2XA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26
Command,Pass the linting checks run by pydocstyle,cd fibonaccicreator && poetry run task pydocstyle,true,p5K7+j/WnpdDSeiVoM6iFA==,,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,false,b6vKWo8XetQV73efl+7ZIA==,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py Imports are incorrectly sorted and/or formatted.	     ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46
