check type,description,command,count,exact,status,diagnostic,uid,objective,org-name,repo-name,file-name,amount_correct,percentage_score,report_time,fragment,path,language,tag
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-dictionary.py,7,true,false,Found 1 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,p5K7+j/WnpdDSeiVoM6iFA==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-dictionary.py,7,true,false,Found 1 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,33x/IdA+veSNbwwV+sZAeg==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,b6vKWo8XetQV73efl+7ZIA==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-class.py,13,true,false,Found 0 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,33x/IdA+veSNbwwV+sZAeg==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,3,false,false,Found 0 line(s) in the file or the output,wC69ew7NwVXVb1dj2hr23w==,tuple,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,b6vKWo8XetQV73efl+7ZIA==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-list.py,7,true,false,Found 1 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,wC69ew7NwVXVb1dj2hr23w==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-class.py,13,true,false,Found 0 line(s) in the file or the output,nS+BKKonuI3r3x6z9BOXLw==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230707-22,13,59,2023-07-07 14:57:43,,,,
CountCommandOutput,Run the fibonaccicreator program and ensure that it produces a correct minimum number of lines with iterative list,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativelist,3,false,false,Found 0 line(s) in the file or the output,p5K7+j/WnpdDSeiVoM6iFA==,list,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
CountCommandOutput,Run the program and check the correct number of output lines,python source/create-dog-with-list.py,7,true,false,Found 1 line(s) in the file or the output,mZPZSbWInH7C7NJAM+UA3w==,,allegheny-haunted-classroom,object-oriented-Yanqiao4396,insight-20230629-00,12,55,,,,,
CountCommits,Have at least a specific minimum of commits in the GitHub repository,,10,,false,Found 9 commit(s) in the Git repository,b6vKWo8XetQV73efl+7ZIA==,meet minimal,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
CountCommits,Have at least a specific minimum of commits in repository,,10,,false,Found 8 commit(s) in the Git repository,cZdEgIWQoeIofDdrYH/Afg==,,allegheny-college-sandbox,content-search-Yanqiao4396,hello-action-20230629-00,14,54,,,,,
CountCommits,Have at least a specific minimum of commits in the GitHub repository,,10,,false,Found 8 commit(s) in the Git repository,33x/IdA+veSNbwwV+sZAeg==,meet minimal,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
CountCommits,Have at least a specific minimum of commits in the GitHub repository,,10,,false,Found 7 commit(s) in the Git repository,p5K7+j/WnpdDSeiVoM6iFA==,meet minimal,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
Command,Pass all of the Pytest test cases,cd fibonaccicreator && poetry run task test,,,false,"============================= test session starts ==============================	     platform linux -- Python 3.10.12, pytest-7.1.3, pluggy-1.0.0	     rootdir: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator	     collected 0 items / 1 error	     	     ==================================== ERRORS ====================================	     ___________________ ERROR collecting tests/test_fibonacci.py ___________________	     tests/test_fibonacci.py:13: in <module>	         from fibonaccicreator import fibonacci	     fibonaccicreator/fibonacci.py:13: in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     E   NameError: name 'List' is not defined	     =========================== short test summary info ============================	     ERROR tests/test_fibonacci.py - NameError: name 'List' is not defined	     !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!	     !!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!	     =============================== 1 error in 0.47s ===============================",b6vKWo8XetQV73efl+7ZIA==,test,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
Command,Run the fibonaccicreator program and ensure that it does not crash with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,,,false,"Traceback (most recent call last):	       File ""<string>"", line 1, in <module>	       File ""/opt/hostedtoolcache/Python/3.10.12/x64/lib/python3.10/importlib/__init__.py"", line 126, in import_module	         return _bootstrap._gcd_import(name[level:], package, level)	       File ""<frozen importlib._bootstrap>"", line 1050, in _gcd_import	       File ""<frozen importlib._bootstrap>"", line 1027, in _find_and_load	       File ""<frozen importlib._bootstrap>"", line 1006, in _find_and_load_unlocked	       File ""<frozen importlib._bootstrap>"", line 688, in _load_unlocked	       File ""<frozen importlib._bootstrap_external>"", line 883, in exec_module	       File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py"", line 22, in <module>	         from fibonaccicreator import fibonacci	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py"", line 13, in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     NameError: name 'List' is not defined. Did you mean: 'list'?",p5K7+j/WnpdDSeiVoM6iFA==,,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,,,false,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',p5K7+j/WnpdDSeiVoM6iFA==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,,,false,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! ðŸ’¥ ðŸ’” ðŸ’¥	     1 file would be reformatted, 4 files would be left unchanged.",b6vKWo8XetQV73efl+7ZIA==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
Command,Pass all of the Pytest test cases,cd fibonaccicreator && poetry run task test,,,false,"============================= test session starts ==============================	     platform linux -- Python 3.10.12, pytest-7.1.3, pluggy-1.0.0	     rootdir: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator	     collected 0 items / 1 error	     	     ==================================== ERRORS ====================================	     ___________________ ERROR collecting tests/test_fibonacci.py ___________________	     tests/test_fibonacci.py:13: in <module>	         from fibonaccicreator import fibonacci	     fibonaccicreator/fibonacci.py:13: in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     E   NameError: name 'List' is not defined	     =========================== short test summary info ============================	     ERROR tests/test_fibonacci.py - NameError: name 'List' is not defined	     !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!	     !!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!	     =============================== 1 error in 0.62s ===============================",wC69ew7NwVXVb1dj2hr23w==,test,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,,,false,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',b6vKWo8XetQV73efl+7ZIA==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,,,false,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',33x/IdA+veSNbwwV+sZAeg==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
Command,Pass the source code formatting checks run by black,cd fibonaccicreator && poetry run task black,,,false,"would reformat /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py	     	     Oh no! ðŸ’¥ ðŸ’” ðŸ’¥	     1 file would be reformatted, 4 files would be left unchanged.",33x/IdA+veSNbwwV+sZAeg==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,,,false,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py Imports are incorrectly sorted and/or formatted.	     ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py Imports are incorrectly sorted and/or formatted.,Rc9Hc3YcbAwPRaxiorY2XA==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-35,42,93,2023-07-08 20:35:26,,,,
Command,Pass the linting checks run by flake8,cd fibonaccicreator && poetry run task flake8,,,false,fibonaccicreator/fibonacci.py:13:45: F821 undefined name 'List'	     fibonaccicreator/fibonacci.py:23:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:35:46: F821 undefined name 'Tuple'	     fibonaccicreator/fibonacci.py:50:45: F821 undefined name 'List',wC69ew7NwVXVb1dj2hr23w==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
Command,Pass the linting checks run by flake8,cd contactsearcher && poetry run task flake8,,,false,contactsearcher/main.py:8:2: F821 undefined name 'cli'	     contactsearcher/main.py:10:28: F821 undefined name 'typer'	     contactsearcher/main.py:11:20: F821 undefined name 'Optional'	     contactsearcher/main.py:11:29: F821 undefined name 'Path'	     contactsearcher/main.py:11:37: F821 undefined name 'typer'	     contactsearcher/main.py:19:9: F821 undefined name 'typer'	     contactsearcher/main.py:20:15: F821 undefined name 'typer'	     contactsearcher/main.py:25:9: F821 undefined name 'typer'	     contactsearcher/main.py:30:9: F821 undefined name 'typer'	     contactsearcher/main.py:32:5: F821 undefined name 'typer'	     contactsearcher/main.py:33:5: F821 undefined name 'typer'	     contactsearcher/search.py:5:1: F401 'csv' imported but unused,cZdEgIWQoeIofDdrYH/Afg==,,allegheny-college-sandbox,content-search-Yanqiao4396,hello-action-20230629-00,14,54,,,,,
Command,Pass the linting checks run by pylint,cd fibonaccicreator && poetry run task pylint,,,false,************* Module fibonaccicreator.fibonacci	     fibonaccicreator/fibonacci.py:13:28: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:23:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:35:29: W0613: Unused argument 'number' (unused-argument)	     fibonaccicreator/fibonacci.py:50:28: W0613: Unused argument 'number' (unused-argument)	     	     -----------------------------------	     Your code has been rated at 9.56/10,wC69ew7NwVXVb1dj2hr23w==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,,,false,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,wC69ew7NwVXVb1dj2hr23w==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-03-58,26,58,2023-07-08 19:58:27,,,,
Command,Pass all of the Pytest test cases,cd fibonaccicreator && poetry run task test,,,false,"============================= test session starts ==============================	     platform linux -- Python 3.10.12, pytest-7.1.3, pluggy-1.0.0	     rootdir: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator	     collected 0 items / 1 error	     	     ==================================== ERRORS ====================================	     ___________________ ERROR collecting tests/test_fibonacci.py ___________________	     tests/test_fibonacci.py:13: in <module>	         from fibonaccicreator import fibonacci	     fibonaccicreator/fibonacci.py:13: in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     E   NameError: name 'List' is not defined	     =========================== short test summary info ============================	     ERROR tests/test_fibonacci.py - NameError: name 'List' is not defined	     !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!!	     !!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!	     =============================== 1 error in 0.44s ===============================",p5K7+j/WnpdDSeiVoM6iFA==,test,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22,24,53,2023-07-07 14:38:25,,,,
Command,Pass the import checks run by isort,cd fibonaccicreator && poetry run task isort,,,false,ERROR: /home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/tests/test_fibonacci.py Imports are incorrectly sorted and/or formatted.,2zdwxa4w1RzMTPppmcTgrA==,lint,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230709-04-01,41,91,2023-07-08 20:01:28,,,,
Command,Run the fibonaccicreator program and ensure that it does not crash with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,,,false,"Traceback (most recent call last):	       File ""<string>"", line 1, in <module>	       File ""/opt/hostedtoolcache/Python/3.10.12/x64/lib/python3.10/importlib/__init__.py"", line 126, in import_module	         return _bootstrap._gcd_import(name[level:], package, level)	       File ""<frozen importlib._bootstrap>"", line 1050, in _gcd_import	       File ""<frozen importlib._bootstrap>"", line 1027, in _find_and_load	       File ""<frozen importlib._bootstrap>"", line 1006, in _find_and_load_unlocked	       File ""<frozen importlib._bootstrap>"", line 688, in _load_unlocked	       File ""<frozen importlib._bootstrap_external>"", line 883, in exec_module	       File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py"", line 22, in <module>	         from fibonaccicreator import fibonacci	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py"", line 13, in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     NameError: name 'List' is not defined. Did you mean: 'list'?",33x/IdA+veSNbwwV+sZAeg==,,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-22-44,24,53,2023-07-07 14:44:16,,,,
Command,Run the fibonaccicreator program and ensure that it does not crash with iterative tuple,cd fibonaccicreator && poetry run fibonaccicreator --number 1000 --approach iterativetuple,,,false,"Traceback (most recent call last):	       File ""<string>"", line 1, in <module>	       File ""/opt/hostedtoolcache/Python/3.10.12/x64/lib/python3.10/importlib/__init__.py"", line 126, in import_module	         return _bootstrap._gcd_import(name[level:], package, level)	       File ""<frozen importlib._bootstrap>"", line 1050, in _gcd_import	       File ""<frozen importlib._bootstrap>"", line 1027, in _find_and_load	       File ""<frozen importlib._bootstrap>"", line 1006, in _find_and_load_unlocked	       File ""<frozen importlib._bootstrap>"", line 688, in _load_unlocked	       File ""<frozen importlib._bootstrap_external>"", line 883, in exec_module	       File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/main.py"", line 22, in <module>	         from fibonaccicreator import fibonacci	       File ""/home/runner/work/fibonacci-algorithms-Yanqiao4396/fibonacci-algorithms-Yanqiao4396/fibonaccicreator/fibonaccicreator/fibonacci.py"", line 13, in <module>	         def fibonacci_recursivelist(number: int) -> List[int]:	     NameError: name 'List' is not defined. Did you mean: 'list'?",b6vKWo8XetQV73efl+7ZIA==,,allegheny-haunted-classroom,fibonacci-algorithms-Yanqiao4396,hello-action-20230707-23-03,24,53,2023-07-07 15:03:46,,,,
Command,Pass the import checks run by isort,cd contactsearcher && poetry run task isort,,,false,ERROR: /home/runner/work/content-search-Yanqiao4396/content-search-Yanqiao4396/contactsearcher/contactsearcher/search.py Imports are incorrectly sorted and/or formatted.,cZdEgIWQoeIofDdrYH/Afg==,,allegheny-college-sandbox,content-search-Yanqiao4396,hello-action-20230629-00,14,54,,,,,
