description,fragment,count,exact,status,diagnostic,uid,path,objective
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,false,Found 1 fragment(s) in the reflection.md or the output while expecting exactly 0,mZPZSbWInH7C7NJAM+UA3w==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,TODO
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-list.py",TODO,0,true,true,,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-list.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,false,Found 6 fragment(s) in the main.py or the output while expecting exactly 0,cZdEgIWQoeIofDdrYH/Afg==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,jXWJ09jdaXPRqtmSdda6IA==,writing/review.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,false,Found 1 fragment(s) in the review.md or the output while expecting exactly 0,ZoVZb/cfVDFEZusZmwHoZw==,,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,false,Found 1 fragment(s) in the review.md or the output while expecting exactly 0,e3xQoIBn3JNKWAA3CFsBDQ==,,
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/tests/test_fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md,delete default
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/tests/test_fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,false,Found 1 fragment(s) in the reflection.md or the output while expecting exactly 0,cZdEgIWQoeIofDdrYH/Afg==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/main.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md,TODO
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/main.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-dictionary.py",TODO,0,true,false,Found 8 fragment(s) in the create-dog-with-dictionary.py or the output while expecting exactly 0,mZPZSbWInH7C7NJAM+UA3w==,,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,inxu6J85kI1o0GMSeSb7NQ==,writing/review.md,delete default
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,etStjSr28Qe6nwdZLHSAew==,writing/review.md,delete default
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,false,Found 1 fragment(s) in the reflection.md or the output while expecting exactly 0,nS+BKKonuI3r3x6z9BOXLw==,writing/reflection.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-class.py",TODO,0,true,true,,mZPZSbWInH7C7NJAM+UA3w==,,
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-class.py",TODO,0,true,true,,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-class.py,
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md,delete default
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md,delete default
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,delete default
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/main.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,b6vKWo8XetQV73efl+7ZIA==,writing/reflection.md,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,e3xQoIBn3JNKWAA3CFsBDQ==,,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for reflection.md",TODO,0,true,true,,cZdEgIWQoeIofDdrYH/Afg==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-list.py",TODO,0,true,false,Found 8 fragment(s) in the create-dog-with-list.py or the output while expecting exactly 0,mZPZSbWInH7C7NJAM+UA3w==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md,TODO
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_search.py",TODO,0,true,true,,cZdEgIWQoeIofDdrYH/Afg==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md,TODO
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/tests/test_fibonacci.py,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md,delete default
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,b6vKWo8XetQV73efl+7ZIA==,writing/reflection.md,delete default
Delete the 'Add Your Name Here' prompt in the reflection file,Add Your Name Here,0,true,true,,ZoVZb/cfVDFEZusZmwHoZw==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,b6vKWo8XetQV73efl+7ZIA==,writing/reflection.md,TODO
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/main.py,
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,wC69ew7NwVXVb1dj2hr23w==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/main.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,nS+BKKonuI3r3x6z9BOXLw==,writing/reflection.md,
Import the List type annotation from the typing package in fibonacci.py,from typing import List,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,true,,jXWJ09jdaXPRqtmSdda6IA==,writing/review.md,
"Complete all TODOs, remove the TODO markers, and rewrite comments for search.py",TODO,0,true,false,Found 7 fragment(s) in the search.py or the output while expecting exactly 0,cZdEgIWQoeIofDdrYH/Afg==,,
Use the += operator to create a new tuple and add contents to it in fibonacci.py,append(,1,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for test_fibonacci.py",TODO,0,true,false,Found 2 fragment(s) in the test_fibonacci.py or the output while expecting exactly 0,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md,TODO
Return a tuple that only contains the values 0 and 1 inside of it in fibonacci.py,"return (0, 1)",1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/tests/test_fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for the reflection",TODO,0,true,true,,mZPZSbWInH7C7NJAM+UA3w==,,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,false,Found 1 fragment(s) in the review.md or the output while expecting exactly 0,inxu6J85kI1o0GMSeSb7NQ==,writing/review.md,TODO
"Complete all TODOs, remove the TODO markers, and rewrite comments for main.py",TODO,0,true,true,,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/main.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for create-dog-with-dictionary.py",TODO,0,true,false,Found 8 fragment(s) in the create-dog-with-dictionary.py or the output while expecting exactly 0,nS+BKKonuI3r3x6z9BOXLw==,source/create-dog-with-dictionary.py,
Use the append function to add a value to an existing list in fibonacci.py,append(,1,false,true,,Rc9Hc3YcbAwPRaxiorY2XA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
Ensure that the test_fibonacci.py file contains the required number of test cases,test_,5,false,true,,2zdwxa4w1RzMTPppmcTgrA==,fibonaccicreator/tests/test_fibonacci.py,
Import the Tuple type annotation from the typing package in fibonacci.py,from typing import Tuple,1,false,false,Found 0 fragment(s) in the fibonacci.py or the output while expecting at least 1,b6vKWo8XetQV73efl+7ZIA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,p5K7+j/WnpdDSeiVoM6iFA==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for fibonacci.py",TODO,0,true,true,,33x/IdA+veSNbwwV+sZAeg==,fibonaccicreator/fibonaccicreator/fibonacci.py,
"Complete all TODOs, remove the TODO markers, and rewrite comments for review.md",TODO,0,true,false,Found 1 fragment(s) in the review.md or the output while expecting exactly 0,etStjSr28Qe6nwdZLHSAew==,writing/review.md,TODO
